ID,URL,Headline 
1002,https://www.nytimes.com/2002/01/05/world/nation-challenged-kabul-afghanistan-endorses-plan-that-gives-autonomy-british.html,2. A NATION CHALLENGED: KABUL; Afghanistan Endorses Plan That Gives Autonomy to British-Led Peacekeepers
1003,https://www.nytimes.com/2002/01/08/international/two-senior-al-qaeda-fighters-captured.html,3. Two Senior Al Qaeda Fighters Captured
1004,https://www.nytimes.com/2002/01/10/world/nation-challenged-regional-politics-iran-exerts-sway-afghan-region-worrying-us.html,"4. A NATION CHALLENGED: REGIONAL POLITICS; IRAN EXERTS SWAY IN AFGHAN REGION, WORRYING THE U.S."
1005,https://www.nytimes.com/2002/01/14/international/us-winding-up-bombing-of-major-al-qaeda-complex.html,5. U.S. Winding Up Bombing of Major Al Qaeda Complex
1006,https://www.nytimes.com/2002/01/25/world/a-nation-challenged-kabul-un-aide-asks-more-security-troops-for-afghanistan.html,9. A NATION CHALLENGED: KABUL; U.N. Aide Asks More Security Troops for Afghanistan
1007,https://www.nytimes.com/2002/03/15/world/lashkar-gah-journal-a-hospital-the-us-nursed-again-in-need-of-care.html,"19. Lashkar Gah Journal; A Hospital the U.S. Nursed, Again in Need of Care"
1008,https://www.nytimes.com/2002/04/15/international/four-us-soldiers-killed-in-kandahar.html,23. Four U.S. Soldiers Killed in Kandahar
1009,https://www.nytimes.com/2002/05/02/world/seizing-arms-and-leaving-an-upset-town.html,26. Seizing Arms And Leaving An Upset Town
1010,https://www.nytimes.com/2002/05/31/world/militants-recruiting-young-dutch-muslims-for-foreign-war.html,29. Militants Recruiting Young Dutch Muslims for Foreign War
1011,https://www.nytimes.com/2002/07/09/world/afghan-ally-of-us-sees-pilot-error-in-attack.html,32. Afghan Ally of U.S. Sees Pilot Error in Attack
1012,PDF,5. Short of materials but hungry for TV Kabul
1013,PDF,3 Powell sees need for more anti-terrorism action by Paki.PDF
1014,PDF,7 US search in Afghanistan fruitless so far_ but war comm.PDF
1015,PDF,18 Attackers fire at U.S. base in Afghanistan_ accident ki.PDF
1016,PDF,23 One child dead_ about 30 reported injured when mortar s.PDF
1017,PDF,24 U.S. helicopter shot down over eastern Afghanistan_ Pen.PDF
1018,PDF,25 Rocket-propelled grenade part in wide use among guerril.PDF
1019,PDF,33 Automatic fire near militiamen_s compound strikes close.PDF
1020,PDF,41 Gaunt and bewildered Taliban prisoners head home from n.PDF
1021,PDF,43 No top Taliban leaders captured in Sunday_s raid in Afg.PDF
